Game Pitch,Pitch Created At,PitchID,Pitch Type,Is Strike,PlateLocSide (CM),PlateLocHeight (CM),RelSpeed (KMH),SpinRate,TrueSpinRelease,Spin Efficiency,Spin Direction,InducedVertBreak (CM),HorzBreak (CM),HorzRelAngle,VertRelAngle,RelHeight (Meters),RelSide (Meters),Gyro Degree (deg),Right Hand Spin Direction,Right Hand Total Spin,Left Hand Spin Direction,Left Hand Total Spin,IntentType,Pitcher First Name,,Device Serial Number,Latitude,Longitude,VerticalSSWBreak (Meters),HorizontalSSWBreak (Meters),Flagged
45,01-18-2026 02:11:52,1768702312,FB,N,27,111,121.0,0,0,0,12:0,73.8,42.7,2.6,-0.4,1.7,0.6,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
44,01-18-2026 02:11:41,1768702301,FB,N,10,120,117.1,0,0,0,12:0,55.3,34.7,2.8,-0.2,2.0,0.6,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
43,01-18-2026 02:11:33,1768702293,FB,Y,4,104,118.1,0,0,0,12:0,56.3,17.2,2.4,0.2,1.7,0.6,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
42,01-18-2026 02:11:27,1768702287,FB,Y,14,58,117.5,1988,1715,86,12:42,74.0,23.9,2.1,-2.4,1.8,0.5,30,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
41,01-18-2026 02:11:20,1768702280,FB,N,-20,42,116.7,1873,1445,77,12:52,67.8,23.3,3.2,-2.4,1.8,0.5,39,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
40,01-18-2026 02:10:56,1768702256,FB,N,-3,112,113.9,0,0,0,12:0,62.4,25.7,2.9,-0.2,1.8,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
39,01-18-2026 02:10:48,1768702248,FB,N,3,107,115.1,0,0,0,12:0,43.8,11.0,2.1,0.8,1.8,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
38,01-18-2026 02:10:41,1768702241,CT,Y,-23,64,114.6,0,0,0,12:0,54.4,5.3,2.7,-0.7,1.7,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,01-18-2026 02:10:25,1768702225,FB,N,1,122,116.8,0,0,0,12:0,52.1,14.5,2.1,1.2,1.8,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
35,01-18-2026 02:10:14,1768702214,FB,N,-47,101,118.0,0,0,0,12:0,68.7,0.0,3.4,0.0,1.7,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
34,01-18-2026 02:10:05,1768702205,FB,Y,-22,59,115.7,0,0,0,12:0,65.3,24.3,3.4,-1.6,1.7,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
33,01-18-2026 02:09:49,1768702189,CT,N,-38,68,115.2,0,0,0,12:0,60.3,-3.7,2.7,-1.0,1.8,0.4,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
32,01-18-2026 02:09:34,1768702174,FB,N,-24,21,112.8,2393,1887,78,12:10,66.7,15.4,2.9,-3.1,1.8,0.4,-37,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
31,01-18-2026 02:09:26,1768702166,FB,Y,-10,55,115.2,0,0,0,12:0,45.5,21.3,2.7,-0.8,1.8,0.4,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
30,01-18-2026 02:09:18,1768702158,FB,Y,2,80,114.3,0,0,0,12:0,41.1,14.3,1.9,0.6,1.7,0.4,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
29,01-18-2026 02:09:11,1768702151,CT,Y,-23,94,114.0,0,0,0,12:0,69.2,8.9,2.7,-0.3,1.7,0.4,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
28,01-18-2026 02:08:54,1768702134,FB,N,-30,88,114.7,0,0,0,12:0,57.7,19.8,3.4,0.2,1.7,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
27,01-18-2026 02:08:47,1768702127,FB,Y,1,64,115.2,0,0,0,12:0,68.5,22.6,2.5,-1.8,1.7,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
26,01-18-2026 02:08:40,1768702120,FB,Y,-23,82,116.9,0,0,0,12:0,49.2,11.7,3.1,-0.1,1.7,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
25,01-18-2026 02:08:33,1768702113,FB,Y,-17,51,116.3,0,0,0,12:0,68.4,23.0,3.3,-1.8,1.7,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
24,01-18-2026 02:08:25,1768702105,FB,Y,7,106,117.0,1717,1705,99,10:22,60.2,10.1,1.8,0.8,1.7,0.5,-6,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
23,01-18-2026 02:07:55,1768702075,FB,Y,-4,81,115.9,0,0,0,12:0,67.5,25.1,2.8,-0.8,1.7,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
22,01-18-2026 02:07:42,1768702062,FB,Y,-12,66,118.2,0,0,0,12:0,55.4,26.6,3.2,-0.9,1.8,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
21,01-18-2026 02:07:35,1768702055,FB,N,-34,50,120.6,2047,1301,63,11:40,28.9,2.8,3.0,-0.9,1.7,0.5,-50,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
20,01-18-2026 02:07:27,1768702047,FB,Y,-16,101,117.8,0,0,0,12:0,67.1,20.6,3.1,-0.2,1.8,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
19,01-18-2026 02:07:20,1768702040,FB,N,0,45,116.2,1825,1368,74,12:28,35.6,16.8,2.3,-1.7,1.8,0.5,41,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
18,01-18-2026 02:07:09,1768702029,FB,Y,9,71,117.5,0,0,0,12:0,49.7,23.0,2.1,-0.2,1.7,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,01-18-2026 02:06:56,1768702016,FB,N,25,123,116.9,0,0,0,12:0,73.9,19.5,1.6,0.3,1.7,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
15,01-18-2026 02:06:48,1768702008,FB,Y,-11,91,120.2,0,0,0,12:0,72.3,18.4,2.9,-0.7,1.8,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
14,01-18-2026 02:06:41,1768702001,FB,Y,12,89,120.8,0,0,0,12:0,46.7,36.6,2.9,0.0,1.7,0.6,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
13,01-18-2026 02:06:34,1768701994,FB,Y,0,49,117.3,0,0,0,12:0,68.6,26.2,2.9,-2.9,1.8,0.6,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
12,01-18-2026 02:06:28,1768701988,FB,N,-14,109,116.4,0,0,0,12:0,59.0,25.4,3.0,0.2,1.8,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
11,01-18-2026 02:06:18,1768701978,FB,N,-18,116,116.9,0,0,0,12:0,75.3,17.5,3.0,-0.1,1.8,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
10,01-18-2026 02:06:10,1768701970,FB,N,9,106,119.9,0,0,0,12:0,68.7,30.3,2.6,-0.6,1.8,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
9,01-18-2026 02:06:03,1768701963,FB,Y,-17,77,117.9,0,0,0,12:0,48.5,23.6,3.2,-1.0,1.8,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
8,01-18-2026 02:05:55,1768701955,FB,Y,-15,87,113.3,0,0,0,12:0,49.7,23.8,3.2,-0.6,1.7,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,01-18-2026 02:05:39,1768701939,FB,Y,-2,62,119.7,0,0,0,12:0,53.7,28.8,2.9,-1.3,1.8,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
5,01-18-2026 02:05:32,1768701932,FB,Y,-10,62,115.7,0,0,0,12:0,58.3,24.1,3.0,-1.5,1.8,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
4,01-18-2026 02:05:25,1768701925,FB,N,8,138,116.9,0,0,0,12:0,45.0,11.8,1.9,1.7,1.9,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
3,01-18-2026 02:05:17,1768701917,FB,Y,-16,64,117.1,1148,984,85,1:40,74.1,8.8,2.5,-2.5,1.8,0.5,31,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
2,01-18-2026 02:05:10,1768701910,FB,N,-6,45,116.8,0,0,0,12:0,65.2,14.5,2.3,-2.5,1.8,0.4,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
